Area;Centroid_1;Centroid_2;Perimeter;Circularity;Eccentricity;Solidity;MinorAxisLength;MajorAxisLength;Concentration;Time;Enumeration;rare
1152;43.28211806;1285.501736;144.11;0.667639989;0.435898706;0.936585366;36.94362043;41.04866178;1000;-2;1;n
1418;102.9668547;412.6276446;155.787;0.705475636;0.487227378;0.949765573;39.99747699;45.80168934;1000;-2;2;n
1157;104.1763181;713.2324978;130.488;0.814212816;0.464728176;0.959369818;36.20180771;40.88505137;1000;-2;3;n
1461;117.0869268;27.6440794;162.477;0.66933248;0.277155437;0.945019405;42.77030436;44.51414161;1000;-2;4;n
1164;162.5927835;1389.168385;162.578;0.53261713;0.458393813;0.888549618;37.06044584;41.6995554;1000;-2;5;n
3000;187.9826667;488.879;319.48;0.362196507;0.90775072;0.793231095;44.43609985;105.9238184;1000;-2;6;n
1458;197.9636488;1237.314815;157.11;0.713448582;0.407559632;0.930440332;41.89440208;45.87755595;1000;-2;7;n
1396;220.9484241;297.0680516;155.307;0.698744673;0.433792758;0.952251023;40.59077443;45.05017022;1000;-2;8;n
1908;242.8134172;964.3176101;205.781;0.549309894;0.89311238;0.860622463;34.37706393;76.42173282;1000;-2;9;n
1376;313.3989826;1072.770349;148.302;0.753922128;0.295416803;0.946354883;41.2140779;43.13945794;1000;-2;10;n
2737;344.5864085;1175.56814;289.748;0.400937595;0.8956563;0.812648456;42.27623275;95.05683818;1000;-2;11;n
1687;359.9347955;1297.489627;182.359;0.616076075;0.233523883;0.929988975;46.07526832;47.38542479;1000;-2;12;n
1580;382.6259494;281.9044304;176.877;0.612677916;0.250049727;0.927774516;44.65500075;46.1200981;1000;-2;13;n
1430;382.0118881;639.5699301;158.624;0.686710353;0.45927997;0.952698201;40.33807208;45.41084655;1000;-2;14;n
1115;506.6224215;774.3713004;140.677;0.677414771;0.47625832;0.941722973;35.52718378;40.40369042;1000;-2;15;n
1227;561.5501222;712.5647922;161.708;0.567386071;0.401457101;0.914307004;38.63355917;42.18200069;1000;-2;16;n
1041;561.7675312;1638.699328;148.302;0.570372773;0.454548016;0.921238938;34.69454244;38.95102317;1000;-2;17;n
1423;574.7617709;204.6514406;195.559;0.452914724;0.376995609;0.891045711;41.82803602;45.16017766;1000;-2;18;n
1693;578.2516243;263.2929711;191.921;0.55913778;0.416533245;0.928179825;44.89472965;49.38259603;1000;-2;19;n
1372;579.5444606;650.0459184;155.076;0.688738612;0.365704242;0.948168625;40.46358876;43.47505754;1000;-2;20;n
1295;579.2594595;1563.2139;195.394;0.412860067;0.576207097;0.896193772;36.95865003;45.22021475;1000;-2;21;n
1605;620.5582555;700.7520249;162.941;0.731200819;0.405953474;0.952522255;43.32936506;47.41181926;1000;-2;22;y
1151;626.8436142;1686.314509;274.484;0.187657614;0.54277307;0.612886049;46.13088308;54.92560419;1000;-2;23;n
1450;654.0551724;845.3503448;152.901;0.748327235;0.16919466;0.943396226;43.10077145;43.73126017;1000;-2;24;n
1700;702.0470588;1164.348235;191.175;0.565768824;0.316308357;0.927441353;45.81747272;48.29722463;1000;-2;25;n
5713;770.2482058;146.44425;876.37;0.092809183;0.604244816;0.659166955;95.49541654;119.8488577;1000;-2;26;y
